Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes For Labor Org3,Labor Org3
"01, 34",01-RC-179057,,"Freshbev Craft Juicery, LLC",RC,New Haven,CT,9/26/2019,32,14,7,"United Food and Commercial Workers International Union, Local 371, AFL-CIO, CLC",Stipulated,,LOSS,10/10/2019,Certification of Results,,,,,
"01, 34",01-RC-213174,,The Arc of South Norfolk,RC,Westwood,MA,10/3/2019,34,16,13,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, COUNCIL 93",Stipulated,,LOSS,10/11/2019,Certification of Results,,,,,
"01, 34",01-RC-247721,,M & M Transport Services Inc.,RC,Marlborough,MA,9/27/2019,11,7,4,"International Brotherhood of Teamsters, Local 170",Stipulated,,LOSS,11/15/2019,Certification of Results,,,,,
"01, 34",01-RC-248073,,Quality Beverage LP,RC,Taunton,MA,10/21/2019,2,2,0,International Brotherhood of Teamsters Local 170,Directed,,LOSS,10/30/2019,Certification of Results,,,,,
"01, 34",01-RC-248155,,"Sprague Resources GP, LLC",RC,East Providence,RI,10/10/2019,8,1,7,Teamsters Local 251,Stipulated,WON,,10/18/2019,Certific. of Representative,,,,,
"01, 34",01-RC-248189,,Hebrew Center for Health and Rehabilitation,RC,West Hartford,CT,10/4/2019,172,31,110,"New England Health Care Employees Union, District 1199, SEIU",Stipulated,WON,,10/15/2019,Certific. of Representative,,,,,
"01, 34",01-RC-248425,,Endicott College,RC,Beverly,MA,10/11/2019,11,0,11,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 24",Stipulated,WON,,10/22/2019,Certific. of Representative,,,,,
"01, 34",01-RC-248808,,"Agiliti Health, Inc.",RC,Worcester,MA,10/19/2019,18,3,13,"UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION, LOCAL 1445",Stipulated,WON,,10/30/2019,Certific. of Representative,,,,,
"01, 34",01-RC-248828,,"Ambassador Wheelchair Services, Inc.",RC,Rocky Hill,CT,10/17/2019,55,17,31,CSEA SEIU LOCAL 2001,Stipulated,WON,,10/25/2019,Certific. of Representative,,,,,
"01, 34",01-RC-248864,,"Airgas USA, LLC",RC,Hyannis,MA,11/7/2019,2,0,0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Directed,,LOSS,5/26/2020,Certification of Results,,,,,
"01, 34",01-RC-249161,,Hebrew Senior Care Behavioral Hospital,RC,West Hartford,CT,10/22/2019,26,0,26,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199, SEIU",Stipulated,WON,,10/30/2019,Certific. of Representative,,,,,
"01, 34",01-RC-249303,,Coca-Cola Beverages Northeast,RC,East Hartford,CT,11/5/2019,11,3,7,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 1035,Stipulated,WON,,11/13/2019,Certific. of Representative,,,,,
