state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
AK,10,NA,NA,$11.91,May 2024 through April 2025,NA
AL,10,0.029249050174585213,61000,$7.25,May 2024 through April 2025,2522
AR,10,NA,NA,$11.00,May 2024 through April 2025,NA
AZ,10,NA,NA,$14.70,May 2024 through April 2025,NA
CA,10,NA,NA,$16.50,May 2024 through April 2025,NA
CO,10,NA,NA,$14.81,May 2024 through April 2025,NA
CT,10,NA,NA,$16.35,May 2024 through April 2025,NA
DC,10,NA,NA,$17.50,May 2024 through April 2025,NA
DE,10,NA,NA,$15.00,May 2024 through April 2025,NA
FL,10,NA,NA,$13.00,May 2024 through April 2025,NA
GA,10,0.03230381458930485,146000,$7.25,May 2024 through April 2025,3481
HI,10,NA,NA,$14.00,May 2024 through April 2025,NA
IA,10,0.023226836225666448,33000,$7.25,May 2024 through April 2025,2426
ID,10,0.020992295301164605,18000,$7.25,May 2024 through April 2025,3982
IL,10,NA,NA,$15.00,May 2024 through April 2025,NA
IN,10,0.019099945818983714,58000,$7.25,May 2024 through April 2025,3383
KS,10,0.026758210832274067,36000,$7.25,May 2024 through April 2025,2819
KY,10,0.035318831608866307,62000,$7.25,May 2024 through April 2025,1977
LA,10,0.0646505263032212,111000,$7.25,May 2024 through April 2025,2837
MA,10,NA,NA,$15.00,May 2024 through April 2025,NA
MD,10,NA,NA,$15.00,May 2024 through April 2025,NA
ME,10,NA,NA,$14.65,May 2024 through April 2025,NA
MI,10,NA,NA,$12.48,May 2024 through April 2025,NA
MN,10,NA,NA,$11.13,May 2024 through April 2025,NA
MO,10,NA,NA,$13.75,May 2024 through April 2025,NA
MS,10,0.04928091075488007,56000,$7.25,May 2024 through April 2025,2769
MT,10,NA,NA,$10.55,May 2024 through April 2025,NA
NC,10,0.029105894104019786,133000,$7.25,May 2024 through April 2025,3547
ND,10,0.017706639988316588,7000,$7.25,May 2024 through April 2025,3415
NE,10,NA,NA,$13.50,May 2024 through April 2025,NA
NH,10,0.012255882346066584,8000,$7.25,May 2024 through April 2025,2866
NJ,10,NA,NA,$15.49,May 2024 through April 2025,NA
NM,10,NA,NA,$12.00,May 2024 through April 2025,NA
NV,10,NA,NA,$12.00,May 2024 through April 2025,NA
NY,10,NA,NA,$15.50,May 2024 through April 2025,NA
OH,10,NA,NA,$10.70,May 2024 through April 2025,NA
OK,10,0.040066595596414754,68000,$7.25,May 2024 through April 2025,2975
OR,10,NA,NA,$14.70,May 2024 through April 2025,NA
PA,10,0.02334689619799484,131000,$7.25,May 2024 through April 2025,5224
RI,10,NA,NA,$15.00,May 2024 through April 2025,NA
SC,10,0.0245936196597354,54000,$7.25,May 2024 through April 2025,2875
SD,10,NA,NA,$11.50,May 2024 through April 2025,NA
TN,10,0.02639452875779201,79000,$7.25,May 2024 through April 2025,3312
TX,10,0.03344114598726723,445000,$7.25,May 2024 through April 2025,12063
UT,10,0.015935973461628426,25000,$7.25,May 2024 through April 2025,3979
VA,10,NA,NA,$12.41,May 2024 through April 2025,NA
VT,10,NA,NA,$14.01,May 2024 through April 2025,NA
WA,10,NA,NA,$16.66,May 2024 through April 2025,NA
WI,10,0.016166829718308722,45000,$7.25,May 2024 through April 2025,3757
WV,10,0.031080827847269985,21000,$8.75,May 2024 through April 2025,3141
WY,10,0.0299508941638055,7000,$7.25,May 2024 through April 2025,2710
AK,11,NA,NA,$11.91,May 2024 through April 2025,NA
AL,11,0.060151886524101965,126000,$7.25,May 2024 through April 2025,2522
AR,11,NA,NA,$11.00,May 2024 through April 2025,NA
AZ,11,NA,NA,$14.70,May 2024 through April 2025,NA
CA,11,NA,NA,$16.50,May 2024 through April 2025,NA
CO,11,NA,NA,$14.81,May 2024 through April 2025,NA
CT,11,NA,NA,$16.35,May 2024 through April 2025,NA
DC,11,NA,NA,$17.50,May 2024 through April 2025,NA
DE,11,NA,NA,$15.00,May 2024 through April 2025,NA
FL,11,NA,NA,$13.00,May 2024 through April 2025,NA
GA,11,0.055321689719670455,250000,$7.25,May 2024 through April 2025,3481
HI,11,NA,NA,$14.00,May 2024 through April 2025,NA
IA,11,0.039057130137772726,56000,$7.25,May 2024 through April 2025,2426
ID,11,0.03879293527459602,33000,$7.25,May 2024 through April 2025,3982
IL,11,NA,NA,$15.00,May 2024 through April 2025,NA
IN,11,0.0389912369091416,119000,$7.25,May 2024 through April 2025,3383
KS,11,0.04457308383299297,59000,$7.25,May 2024 through April 2025,2819
KY,11,0.06088459050745109,107000,$7.25,May 2024 through April 2025,1977
LA,11,0.11435671704705282,196000,$7.25,May 2024 through April 2025,2837
MA,11,NA,NA,$15.00,May 2024 through April 2025,NA
MD,11,NA,NA,$15.00,May 2024 through April 2025,NA
ME,11,NA,NA,$14.65,May 2024 through April 2025,NA
MI,11,NA,NA,$12.48,May 2024 through April 2025,NA
MN,11,NA,NA,$11.13,May 2024 through April 2025,NA
MO,11,NA,NA,$13.75,May 2024 through April 2025,NA
MS,11,0.09147494364440985,103000,$7.25,May 2024 through April 2025,2769
MT,11,NA,NA,$10.55,May 2024 through April 2025,NA
NC,11,0.049547799819443426,227000,$7.25,May 2024 through April 2025,3547
ND,11,0.023274214729298373,9000,$7.25,May 2024 through April 2025,3415
NE,11,NA,NA,$13.50,May 2024 through April 2025,NA
NH,11,0.019224934387156646,13000,$7.25,May 2024 through April 2025,2866
NJ,11,NA,NA,$15.49,May 2024 through April 2025,NA
NM,11,NA,NA,$12.00,May 2024 through April 2025,NA
NV,11,NA,NA,$12.00,May 2024 through April 2025,NA
NY,11,NA,NA,$15.50,May 2024 through April 2025,NA
OH,11,NA,NA,$10.70,May 2024 through April 2025,NA
OK,11,0.06916215239083841,117000,$7.25,May 2024 through April 2025,2975
OR,11,NA,NA,$14.70,May 2024 through April 2025,NA
PA,11,0.03798544538640503,213000,$7.25,May 2024 through April 2025,5224
RI,11,NA,NA,$15.00,May 2024 through April 2025,NA
SC,11,0.05050714432005778,111000,$7.25,May 2024 through April 2025,2875
SD,11,NA,NA,$11.50,May 2024 through April 2025,NA
TN,11,0.045595708052943135,136000,$7.25,May 2024 through April 2025,3312
TX,11,0.06023454226108484,802000,$7.25,May 2024 through April 2025,12063
